x_mm,y_mm,z_mm
0.000000,0.000000,1.000000
0.000000,4.800000,1.000000
0.000000,9.600000,1.000000
0.000000,14.400000,1.000000
0.000000,19.200000,1.000000
0.000000,24.000000,1.000000
0.000000,24.000000,0.000000
0.000000,24.000000,-1.600000
0.000000,52.614307,-1.600000
0.000000,52.614307,0.000000
0.000000,81.128564,0.000000
0.000000,81.128564,-1.600000
0.000000,109.742871,-1.600000
0.000000,109.742871,0.000000
0.000000,138.257129,0.000000
0.000000,138.257129,-1.600000
0.000000,166.871436,-1.600000
0.000000,166.871436,0.000000
