x_mm,y_mm,z_mm
0.000000,0.000000,1.000000
0.000000,4.800000,1.000000
0.000000,9.600000,1.000000
0.000000,14.400000,1.000000
0.000000,19.200000,1.000000
0.000000,24.000000,1.000000
0.000000,24.000000,0.000000
0.000000,24.000000,-1.600000
-4.114526,28.470207,-1.600000
-4.114526,28.470207,0.000000
-11.645222,30.631038,0.000000
-11.645222,30.631038,-1.600000
-18.405490,28.784494,-1.600000
-18.405490,28.784494,0.000000
-25.759458,24.369498,0.000000
-25.759458,24.369498,-1.600000
-33.561366,17.974357,-1.600000
-33.561366,17.974357,0.000000
-34.534464,6.349087,0.000000
-34.534464,6.349087,-1.600000
-24.308644,-1.376952,-1.600000
-24.308644,-1.376952,0.000000
-11.645222,5.317675,0.000000
-11.645222,5.317675,-1.600000
-9.866466,13.201704,-1.600000
-9.866466,13.201704,0.000000
-9.864142,22.821318,0.000000
-9.864142,22.821318,-1.600000
-24.435649,37.311080,-1.600000
-24.435649,37.311080,0.000000
-34.581583,29.482615,0.000000
-34.581583,29.482615,-1.600000
-25.702283,11.552585,-1.600000
-25.702283,11.552585,0.000000
-18.335203,7.125889,0.000000
-18.335203,7.125889,-1.600000
-4.114526,7.478507,-1.600000
-4.114526,7.478507,0.000000
0.000000,11.948713,0.000000
0.000000,11.948713,-1.600000
