rho_bar,cBulk_over_c0
-0.61793,0.019019
-0.61479,0.107879
-0.61165,0.150810
-0.60851,0.183530
-0.60537,0.210857
-0.60222,0.234691
-0.59908,0.256017
-0.59594,0.275424
-0.59280,0.293300
-0.58965,0.309916
-0.58651,0.325469
-0.58337,0.340111
-0.58023,0.353959
-0.57709,0.367106
-0.57394,0.379630
-0.57080,0.391594
-0.56766,0.403052
-0.56452,0.414048
-0.56138,0.424622
-0.55823,0.434808
-0.55509,0.444634
-0.55195,0.454127
-0.54881,0.463311
-0.54566,0.472205
-0.54252,0.480827
-0.53938,0.489195
-0.53624,0.497324
-0.53310,0.505226
-0.52995,0.512915
-0.52681,0.520402
-0.52367,0.527697
-0.52053,0.534809
-0.51739,0.541749
-0.51424,0.548522
-0.51110,0.555139
-0.50796,0.561604
-0.50482,0.567926
-0.50167,0.574109
-0.49853,0.580161
-0.49539,0.586086
-0.49225,0.591889
-0.48911,0.597575
-0.48596,0.603149
-0.48282,0.608614
-0.47968,0.613975
-0.47654,0.619235
-0.47339,0.624399
-0.47025,0.629469
-0.46711,0.634448
-0.46397,0.639341
-0.46083,0.644148
-0.45768,0.648874
-0.45454,0.653521
-0.45140,0.658091
-0.44826,0.662587
-0.44512,0.667012
-0.44197,0.671366
-0.43883,0.675653
-0.43569,0.679874
-0.43255,0.684031
-0.42940,0.688126
-0.42626,0.692162
-0.42312,0.696138
-0.41998,0.700058
-0.41684,0.703922
-0.41369,0.707733
-0.41055,0.711491
-0.40741,0.715199
-0.40427,0.718856
-0.40113,0.722466
-0.39798,0.726028
-0.39484,0.729544
-0.39170,0.733015
-0.38856,0.736443
-0.38541,0.739828
-0.38227,0.743172
-0.37913,0.746475
-0.37599,0.749739
-0.37285,0.752964
-0.36970,0.756151
-0.36656,0.759301
-0.36342,0.762416
-0.36028,0.765495
-0.35714,0.768540
-0.35399,0.771552
-0.35085,0.774531
-0.34771,0.777477
-0.34457,0.780393
-0.34142,0.783277
-0.33828,0.786132
-0.33514,0.788958
-0.33200,0.791754
-0.32886,0.794523
-0.32571,0.797264
-0.32257,0.799979
-0.31943,0.802667
-0.31629,0.805329
-0.31315,0.807966
-0.31000,0.810579
-0.30686,0.813167
-0.30372,0.815731
-0.30058,0.818273
-0.29743,0.820791
-0.29429,0.823288
-0.29115,0.825762
-0.28801,0.828216
-0.28487,0.830648
-0.28172,0.833060
-0.27858,0.835452
-0.27544,0.837824
-0.27230,0.840176
-0.26916,0.842510
-0.26601,0.844825
-0.26287,0.847122
-0.25973,0.849401
-0.25659,0.851663
-0.25344,0.853908
-0.25030,0.856135
-0.24716,0.858347
-0.24402,0.860542
-0.24088,0.862721
-0.23773,0.864885
-0.23459,0.867033
-0.23145,0.869167
-0.22831,0.871285
-0.22516,0.873390
-0.22202,0.875480
-0.21888,0.877556
-0.21574,0.879619
-0.21260,0.881669
-0.20945,0.883705
-0.20631,0.885729
-0.20317,0.887740
-0.20003,0.889739
-0.19689,0.891726
-0.19374,0.893700
-0.19060,0.895664
-0.18746,0.897615
-0.18432,0.899556
-0.18117,0.901486
-0.17803,0.903405
-0.17489,0.905313
-0.17175,0.907211
-0.16861,0.909099
-0.16546,0.910977
-0.16232,0.912845
-0.15918,0.914703
-0.15604,0.916552
-0.15290,0.918392
-0.14975,0.920223
-0.14661,0.922046
-0.14347,0.923859
-0.14033,0.925664
-0.13718,0.927461
-0.13404,0.929250
-0.13090,0.931030
-0.12776,0.932803
-0.12462,0.934568
-0.12147,0.936326
-0.11833,0.938077
-0.11519,0.939820
-0.11205,0.941556
-0.10891,0.943285
-0.10576,0.945008
-0.10262,0.946724
-0.09948,0.948434
-0.09634,0.950137
-0.09319,0.951835
-0.09005,0.953526
-0.08691,0.955211
-0.08377,0.956891
-0.08063,0.958565
-0.07748,0.960233
-0.07434,0.961897
-0.07120,0.963555
-0.06806,0.965208
-0.06492,0.966856
-0.06177,0.968499
-0.05863,0.970138
-0.05549,0.971772
-0.05235,0.973401
-0.04920,0.975026
-0.04606,0.976647
-0.04292,0.978264
-0.03978,0.979877
-0.03664,0.981486
-0.03349,0.983091
-0.03035,0.984693
-0.02721,0.986291
-0.02407,0.987886
-0.02093,0.989478
-0.01778,0.991066
-0.01464,0.992651
-0.01150,0.994233
-0.00836,0.995813
-0.00521,0.997389
-0.00207,0.998963
0.00107,1.000535
0.00421,1.002104
0.00735,1.003671
0.01050,1.005235
0.01364,1.006797
0.01678,1.008358
0.01992,1.009916
0.02307,1.011473
0.02621,1.013028
0.02935,1.014581
0.03249,1.016133
0.03563,1.017683
0.03878,1.019232
0.04192,1.020780
0.04506,1.022327
0.04820,1.023872
0.05134,1.025417
0.05449,1.026961
0.05763,1.028504
0.06077,1.030047
0.06391,1.031589
0.06706,1.033130
0.07020,1.034671
0.07334,1.036212
0.07648,1.037753
0.07962,1.039294
0.08277,1.040835
0.08591,1.042376
0.08905,1.043917
0.09219,1.045458
0.09533,1.047000
0.09848,1.048542
0.10162,1.050085
0.10476,1.051629
0.10790,1.053173
0.11105,1.054719
0.11419,1.056265
0.11733,1.057813
0.12047,1.059361
0.12361,1.060911
0.12676,1.062462
0.12990,1.064015
0.13304,1.065569
0.13618,1.067125
0.13932,1.068683
0.14247,1.070242
0.14561,1.071804
0.14875,1.073367
0.15189,1.074933
0.15504,1.076501
0.15818,1.078071
0.16132,1.079644
0.16446,1.081219
0.16760,1.082797
0.17075,1.084377
0.17389,1.085961
0.17703,1.087547
0.18017,1.089136
0.18331,1.090729
0.18646,1.092325
0.18960,1.093924
0.19274,1.095526
0.19588,1.097132
0.19903,1.098742
0.20217,1.100356
0.20531,1.101973
0.20845,1.103595
0.21159,1.105220
0.21474,1.106850
0.21788,1.108484
0.22102,1.110123
0.22416,1.111766
0.22730,1.113413
0.23045,1.115066
0.23359,1.116723
0.23673,1.118385
0.23987,1.120053
0.24302,1.121726
0.24616,1.123404
0.24930,1.125087
0.25244,1.126776
0.25558,1.128471
0.25873,1.130172
0.26187,1.131878
0.26501,1.133591
0.26815,1.135310
0.27130,1.137035
0.27444,1.138767
0.27758,1.140505
0.28072,1.142250
0.28386,1.144002
0.28701,1.145762
0.29015,1.147528
0.29329,1.149301
0.29643,1.151082
0.29957,1.152871
0.30272,1.154667
0.30586,1.156471
0.30900,1.158283
0.31214,1.160103
0.31529,1.161932
0.31843,1.163769
0.32157,1.165615
0.32471,1.167469
0.32785,1.169332
0.33100,1.171205
0.33414,1.173087
0.33728,1.174978
0.34042,1.176879
0.34356,1.178790
0.34671,1.180710
0.34985,1.182641
0.35299,1.184582
0.35613,1.186534
0.35928,1.188496
0.36242,1.190469
0.36556,1.192454
0.36870,1.194449
0.37184,1.196456
0.37499,1.198475
0.37813,1.200505
0.38127,1.202548
0.38441,1.204603
0.38755,1.206670
0.39070,1.208750
0.39384,1.210843
0.39698,1.212950
0.40012,1.215069
0.40327,1.217202
0.40641,1.219350
0.40955,1.221511
0.41269,1.223686
0.41583,1.225876
0.41898,1.228081
0.42212,1.230301
0.42526,1.232537
0.42840,1.234788
0.43154,1.237055
0.43469,1.239338
0.43783,1.241637
0.44097,1.243954
0.44411,1.246287
0.44726,1.248638
0.45040,1.251006
0.45354,1.253392
0.45668,1.255797
0.45982,1.258220
0.46297,1.260662
0.46611,1.263124
0.46925,1.265605
0.47239,1.268105
0.47554,1.270627
0.47868,1.273169
0.48182,1.275732
0.48496,1.278316
0.48810,1.280922
0.49125,1.283551
0.49439,1.286202
0.49753,1.288876
0.50067,1.291574
0.50381,1.294295
0.50696,1.297041
0.51010,1.299811
0.51324,1.302607
0.51638,1.305429
0.51953,1.308276
0.52267,1.311151
0.52581,1.314052
0.52895,1.316982
0.53209,1.319939
0.53524,1.322925
0.53838,1.325941
0.54152,1.328987
0.54466,1.332063
0.54780,1.335170
0.55095,1.338309
0.55409,1.341480
0.55723,1.344684
0.56037,1.347921
0.56352,1.351193
0.56666,1.354500
0.56980,1.357843
0.57294,1.361222
0.57608,1.364638
0.57923,1.368092
0.58237,1.371585
0.58551,1.375117
0.58865,1.378690
0.59179,1.382303
0.59494,1.385959
0.59808,1.389658
0.60122,1.393401
0.60436,1.397188
0.60751,1.401022
0.61065,1.404902
0.61379,1.408830
0.61693,1.412807
0.62007,1.416834
0.62322,1.420912
0.62636,1.425042
0.62950,1.429226
0.63264,1.433464
0.63578,1.437759
0.63893,1.442111
0.64207,1.446521
0.64521,1.450992
0.64835,1.455524
0.65150,1.460118
0.65464,1.464778
0.65778,1.469503
0.66092,1.474296
0.66406,1.479159
0.66721,1.484092
0.67035,1.489098
0.67349,1.494180
0.67663,1.499337
0.67977,1.504574
0.68292,1.509891
0.68606,1.515291
0.68920,1.520776
0.69234,1.526349
0.69549,1.532011
0.69863,1.537766
0.70177,1.543615
0.70491,1.549561
0.70805,1.555608
0.71120,1.561758
0.71434,1.568013
0.71748,1.574378
0.72062,1.580855
0.72377,1.587448
0.72691,1.594159
0.73005,1.600994
0.73319,1.607955
0.73633,1.615046
0.73948,1.622271
0.74262,1.629636
0.74576,1.637143
0.74890,1.644799
0.75204,1.652607
0.75519,1.660573
0.75833,1.668702
0.76147,1.676999
0.76461,1.685471
0.76776,1.694124
0.77090,1.702964
0.77404,1.711997
0.77718,1.721231
0.78032,1.730673
0.78347,1.740331
0.78661,1.750213
0.78975,1.760328
0.79289,1.770685
0.79603,1.781293
0.79918,1.792162
0.80232,1.803304
0.80546,1.814729
0.80860,1.826449
0.81175,1.838477
0.81489,1.850827
0.81803,1.863512
0.82117,1.876547
0.82431,1.889950
0.82746,1.903735
0.83060,1.917923
0.83374,1.932531
0.83688,1.947582
0.84002,1.963096
0.84317,1.979098
0.84631,1.995613
0.84945,2.012667
0.85259,2.030292
0.85574,2.048516
0.85888,2.067376
0.86202,2.086907
0.86516,2.107149
0.86830,2.128145
0.87145,2.149942
0.87459,2.172589
0.87773,2.196144
0.88087,2.220665
0.88401,2.246220
0.88716,2.272880
0.89030,2.300726
0.89344,2.329845
0.89658,2.360335
0.89973,2.392304
0.90287,2.425873
0.90601,2.461174
0.90915,2.498360
0.91229,2.537599
0.91544,2.579083
0.91858,2.623027
0.92172,2.669681
0.92486,2.719326
0.92800,2.772289
0.93115,2.828947
0.93429,2.889742
0.93743,2.955191
0.94057,3.025906
0.94372,3.102617
0.94686,3.186205
0.95000,3.277742
