Omega_rs_over_c0,R_SYM,R_mu_only,R_eps_only,Rpow_mu_bounded,Rpow_eps_bounded
1.00000e-02,2.115473e-16,5.592137e-01,5.592137e-01,3.127200e-01,3.127200e-01
1.03230e-02,2.114196e-16,5.591898e-01,5.591898e-01,3.126933e-01,3.126933e-01
1.06565e-02,2.112834e-16,5.591644e-01,5.591644e-01,3.126648e-01,3.126648e-01
1.10008e-02,2.111384e-16,5.591373e-01,5.591373e-01,3.126345e-01,3.126345e-01
1.13561e-02,2.109839e-16,5.591084e-01,5.591084e-01,3.126022e-01,3.126022e-01
1.17230e-02,2.108192e-16,5.590776e-01,5.590776e-01,3.125678e-01,3.125678e-01
1.21017e-02,2.106438e-16,5.590448e-01,5.590448e-01,3.125311e-01,3.125311e-01
1.24926e-02,2.104569e-16,5.590099e-01,5.590099e-01,3.124920e-01,3.124920e-01
1.28962e-02,2.102578e-16,5.589727e-01,5.589727e-01,3.124504e-01,3.124504e-01
1.33128e-02,2.100456e-16,5.589330e-01,5.589330e-01,3.124061e-01,3.124061e-01
1.37428e-02,2.098195e-16,5.588907e-01,5.588907e-01,3.123589e-01,3.123589e-01
1.41867e-02,2.095787e-16,5.588457e-01,5.588457e-01,3.123085e-01,3.123085e-01
1.46450e-02,2.093221e-16,5.587978e-01,5.587978e-01,3.122549e-01,3.122549e-01
1.51181e-02,2.090487e-16,5.587467e-01,5.587467e-01,3.121978e-01,3.121978e-01
1.56065e-02,2.087575e-16,5.586922e-01,5.586922e-01,3.121370e-01,3.121370e-01
1.61106e-02,2.084472e-16,5.586343e-01,5.586343e-01,3.120722e-01,3.120722e-01
1.66311e-02,2.081167e-16,5.585725e-01,5.585725e-01,3.120032e-01,3.120032e-01
1.71683e-02,2.077646e-16,5.585067e-01,5.585067e-01,3.119297e-01,3.119297e-01
1.77229e-02,2.073895e-16,5.584366e-01,5.584366e-01,3.118514e-01,3.118514e-01
1.82955e-02,2.069899e-16,5.583619e-01,5.583619e-01,3.117680e-01,3.117680e-01
1.88865e-02,2.065642e-16,5.582824e-01,5.582824e-01,3.116792e-01,3.116792e-01
1.94966e-02,2.061108e-16,5.581976e-01,5.581976e-01,3.115846e-01,3.115846e-01
2.01264e-02,2.056279e-16,5.581074e-01,5.581074e-01,3.114839e-01,3.114839e-01
2.07765e-02,2.051135e-16,5.580113e-01,5.580113e-01,3.113766e-01,3.113766e-01
2.14477e-02,2.045656e-16,5.579089e-01,5.579089e-01,3.112624e-01,3.112624e-01
2.21405e-02,2.039821e-16,5.577999e-01,5.577999e-01,3.111407e-01,3.111407e-01
2.28558e-02,2.033606e-16,5.576838e-01,5.576838e-01,3.110112e-01,3.110112e-01
2.35941e-02,2.026987e-16,5.575601e-01,5.575601e-01,3.108733e-01,3.108733e-01
2.43563e-02,2.019938e-16,5.574285e-01,5.574285e-01,3.107265e-01,3.107265e-01
2.51431e-02,2.012432e-16,5.572882e-01,5.572882e-01,3.105702e-01,3.105702e-01
2.59553e-02,2.004440e-16,5.571389e-01,5.571389e-01,3.104038e-01,3.104038e-01
2.67937e-02,1.995929e-16,5.569800e-01,5.569800e-01,3.102267e-01,3.102267e-01
2.76593e-02,1.986868e-16,5.568107e-01,5.568107e-01,3.100382e-01,3.100382e-01
2.85528e-02,1.977220e-16,5.566306e-01,5.566306e-01,3.098376e-01,3.098376e-01
2.94752e-02,1.966949e-16,5.564388e-01,5.564388e-01,3.096241e-01,3.096241e-01
3.04273e-02,1.956015e-16,5.562346e-01,5.562346e-01,3.093969e-01,3.093969e-01
3.14102e-02,1.944377e-16,5.560173e-01,5.560173e-01,3.091552e-01,3.091552e-01
3.24249e-02,1.931989e-16,5.557860e-01,5.557860e-01,3.088981e-01,3.088981e-01
3.34723e-02,1.918805e-16,5.555398e-01,5.555398e-01,3.086245e-01,3.086245e-01
3.45536e-02,1.904774e-16,5.552779e-01,5.552779e-01,3.083336e-01,3.083336e-01
3.56698e-02,1.889844e-16,5.549992e-01,5.549992e-01,3.080241e-01,3.080241e-01
3.68221e-02,1.873958e-16,5.547027e-01,5.547027e-01,3.076951e-01,3.076951e-01
3.80116e-02,1.857057e-16,5.543873e-01,5.543873e-01,3.073453e-01,3.073453e-01
3.92395e-02,1.839078e-16,5.540518e-01,5.540518e-01,3.069734e-01,3.069734e-01
4.05071e-02,1.819955e-16,5.536950e-01,5.536950e-01,3.065781e-01,3.065781e-01
4.18157e-02,1.799617e-16,5.533155e-01,5.533155e-01,3.061581e-01,3.061581e-01
4.31665e-02,1.777991e-16,5.529121e-01,5.529121e-01,3.057118e-01,3.057118e-01
4.45609e-02,1.754999e-16,5.524832e-01,5.524832e-01,3.052377e-01,3.052377e-01
4.60004e-02,1.730556e-16,5.520273e-01,5.520273e-01,3.047341e-01,3.047341e-01
4.74864e-02,1.704578e-16,5.515428e-01,5.515428e-01,3.041995e-01,3.041995e-01
4.90204e-02,1.676973e-16,5.510280e-01,5.510280e-01,3.036319e-01,3.036319e-01
5.06039e-02,1.647643e-16,5.504811e-01,5.504811e-01,3.030295e-01,3.030295e-01
5.22386e-02,1.616490e-16,5.499003e-01,5.499003e-01,3.023903e-01,3.023903e-01
5.39261e-02,1.583406e-16,5.492835e-01,5.492835e-01,3.017123e-01,3.017123e-01
5.56681e-02,1.548281e-16,5.486286e-01,5.486286e-01,3.009934e-01,3.009934e-01
5.74664e-02,1.511000e-16,5.479336e-01,5.479336e-01,3.002313e-01,3.002313e-01
5.93228e-02,1.471441e-16,5.471962e-01,5.471962e-01,2.994237e-01,2.994237e-01
6.12392e-02,1.429481e-16,5.464139e-01,5.464139e-01,2.985682e-01,2.985682e-01
6.32174e-02,1.384990e-16,5.455844e-01,5.455844e-01,2.976623e-01,2.976623e-01
6.52596e-02,1.337833e-16,5.447049e-01,5.447049e-01,2.967035e-01,2.967035e-01
6.73677e-02,1.287874e-16,5.437730e-01,5.437730e-01,2.956891e-01,2.956891e-01
6.95440e-02,1.234973e-16,5.427858e-01,5.427858e-01,2.946164e-01,2.946164e-01
7.17905e-02,1.178990e-16,5.417405e-01,5.417405e-01,2.934827e-01,2.934827e-01
7.41096e-02,1.119785e-16,5.406340e-01,5.406340e-01,2.922852e-01,2.922852e-01
7.65036e-02,1.057222e-16,5.394635e-01,5.394635e-01,2.910208e-01,2.910208e-01
7.89750e-02,9.911752e-17,5.382257e-01,5.382257e-01,2.896869e-01,2.896869e-01
8.15262e-02,9.215338e-17,5.369175e-01,5.369175e-01,2.882804e-01,2.882804e-01
8.41598e-02,8.482166e-17,5.355357e-01,5.355357e-01,2.867985e-01,2.867985e-01
8.68785e-02,7.711927e-17,5.340771e-01,5.340771e-01,2.852383e-01,2.852383e-01
8.96850e-02,6.905214e-17,5.325383e-01,5.325383e-01,2.835970e-01,2.835970e-01
9.25821e-02,6.064297e-17,5.309160e-01,5.309160e-01,2.818718e-01,2.818718e-01
9.55729e-02,5.194770e-17,5.292071e-01,5.292071e-01,2.800602e-01,2.800602e-01
