A2,H_shear_redshift,H_EM_phase
0.00000,1.000000,1.000000
0.00200,0.999499,1.001003
0.00400,0.998997,1.002008
0.00601,0.998495,1.003017
0.00801,0.997992,1.004028
0.01001,0.997488,1.005043
0.01201,0.996983,1.006061
0.01401,0.996478,1.007082
0.01602,0.995972,1.008106
0.01802,0.995465,1.009133
0.02002,0.994957,1.010163
0.02202,0.994448,1.011196
0.02402,0.993939,1.012233
0.02603,0.993429,1.013273
0.02803,0.992918,1.014316
0.03003,0.992406,1.015362
0.03203,0.991894,1.016411
0.03403,0.991381,1.017464
0.03604,0.990867,1.018520
0.03804,0.990352,1.019579
0.04004,0.989836,1.020642
0.04204,0.989320,1.021708
0.04404,0.988802,1.022777
0.04605,0.988284,1.023850
0.04805,0.987765,1.024926
0.05005,0.987246,1.026005
0.05205,0.986725,1.027088
0.05405,0.986204,1.028175
0.05606,0.985681,1.029264
0.05806,0.985158,1.030358
0.06006,0.984634,1.031454
0.06206,0.984110,1.032554
0.06406,0.983584,1.033658
0.06607,0.983058,1.034765
0.06807,0.982530,1.035876
0.07007,0.982002,1.036991
0.07207,0.981473,1.038109
0.07407,0.980944,1.039231
0.07608,0.980413,1.040356
0.07808,0.979881,1.041485
0.08008,0.979349,1.042617
0.08208,0.978816,1.043754
0.08408,0.978282,1.044894
0.08609,0.977747,1.046038
0.08809,0.977211,1.047185
0.09009,0.976674,1.048337
0.09209,0.976136,1.049492
0.09409,0.975598,1.050651
0.09610,0.975058,1.051814
0.09810,0.974518,1.052981
0.10010,0.973977,1.054151
0.10210,0.973434,1.055326
0.10410,0.972891,1.056504
0.10611,0.972347,1.057687
0.10811,0.971803,1.058873
0.11011,0.971257,1.060064
0.11211,0.970710,1.061258
0.11411,0.970162,1.062456
0.11612,0.969614,1.063659
0.11812,0.969064,1.064866
0.12012,0.968514,1.066076
0.12212,0.967962,1.067291
0.12412,0.967410,1.068510
0.12613,0.966857,1.069734
0.12813,0.966303,1.070961
0.13013,0.965747,1.072193
0.13213,0.965191,1.073429
0.13413,0.964634,1.074669
0.13614,0.964076,1.075914
0.13814,0.963517,1.077162
0.14014,0.962957,1.078416
0.14214,0.962396,1.079673
0.14414,0.961834,1.080935
0.14615,0.961271,1.082202
0.14815,0.960707,1.083473
0.15015,0.960142,1.084748
0.15215,0.959576,1.086028
0.15415,0.959009,1.087313
0.15616,0.958441,1.088602
0.15816,0.957872,1.089895
0.16016,0.957302,1.091194
0.16216,0.956731,1.092497
0.16416,0.956159,1.093804
0.16617,0.955586,1.095116
0.16817,0.955012,1.096433
0.17017,0.954437,1.097755
0.17217,0.953861,1.099082
0.17417,0.953284,1.100413
0.17618,0.952705,1.101750
0.17818,0.952126,1.103091
0.18018,0.951546,1.104437
0.18218,0.950964,1.105788
0.18418,0.950382,1.107144
0.18619,0.949798,1.108505
0.18819,0.949213,1.109871
0.19019,0.948628,1.111242
0.19219,0.948041,1.112618
0.19419,0.947453,1.113999
0.19620,0.946864,1.115386
0.19820,0.946274,1.116777
0.20020,0.945682,1.118174
0.20220,0.945090,1.119576
0.20420,0.944497,1.120984
0.20621,0.943902,1.122396
0.20821,0.943306,1.123814
0.21021,0.942709,1.125238
0.21221,0.942111,1.126667
0.21421,0.941512,1.128101
0.21622,0.940912,1.129541
0.21822,0.940311,1.130986
0.22022,0.939708,1.132437
0.22222,0.939104,1.133894
0.22422,0.938499,1.135356
0.22623,0.937893,1.136824
0.22823,0.937286,1.138297
0.23023,0.936678,1.139776
0.23223,0.936068,1.141261
0.23423,0.935457,1.142752
0.23624,0.934845,1.144249
0.23824,0.934232,1.145752
0.24024,0.933618,1.147260
0.24224,0.933002,1.148775
0.24424,0.932385,1.150295
0.24625,0.931767,1.151822
0.24825,0.931148,1.153355
0.25025,0.930527,1.154893
0.25225,0.929905,1.156438
0.25425,0.929282,1.157990
0.25626,0.928658,1.159547
0.25826,0.928032,1.161111
0.26026,0.927406,1.162681
0.26226,0.926777,1.164258
0.26426,0.926148,1.165841
0.26627,0.925517,1.167430
0.26827,0.924885,1.169026
0.27027,0.924252,1.170628
0.27227,0.923618,1.172238
0.27427,0.922982,1.173853
0.27628,0.922344,1.175476
0.27828,0.921706,1.177105
0.28028,0.921066,1.178741
0.28228,0.920425,1.180384
0.28428,0.919782,1.182034
0.28629,0.919139,1.183690
0.28829,0.918493,1.185354
0.29029,0.917847,1.187025
0.29229,0.917199,1.188702
0.29429,0.916549,1.190387
0.29630,0.915899,1.192079
0.29830,0.915247,1.193779
0.30030,0.914593,1.195485
0.30230,0.913938,1.197199
0.30430,0.913282,1.198921
0.30631,0.912624,1.200649
0.30831,0.911965,1.202386
0.31031,0.911304,1.204130
0.31231,0.910642,1.205881
0.31431,0.909979,1.207640
0.31632,0.909314,1.209407
0.31832,0.908647,1.211182
0.32032,0.907979,1.212964
0.32232,0.907310,1.214754
0.32432,0.906639,1.216553
0.32633,0.905967,1.218359
0.32833,0.905293,1.220174
0.33033,0.904618,1.221996
0.33233,0.903941,1.223827
0.33433,0.903263,1.225666
0.33634,0.902583,1.227513
0.33834,0.901901,1.229369
0.34034,0.901218,1.231233
0.34234,0.900534,1.233105
0.34434,0.899847,1.234986
0.34635,0.899160,1.236876
0.34835,0.898470,1.238775
0.35035,0.897780,1.240682
0.35235,0.897087,1.242598
0.35435,0.896393,1.244523
0.35636,0.895697,1.246457
0.35836,0.895000,1.248400
0.36036,0.894301,1.250352
0.36236,0.893601,1.252314
0.36436,0.892898,1.254284
0.36637,0.892194,1.256264
0.36837,0.891489,1.258254
0.37037,0.890782,1.260252
0.37237,0.890073,1.262261
0.37437,0.889362,1.264279
0.37638,0.888650,1.266307
0.37838,0.887936,1.268344
0.38038,0.887220,1.270391
0.38238,0.886502,1.272449
0.38438,0.885783,1.274516
0.38639,0.885062,1.276594
0.38839,0.884339,1.278681
0.39039,0.883615,1.280779
0.39239,0.882888,1.282887
0.39439,0.882160,1.285006
0.39640,0.881430,1.287135
0.39840,0.880698,1.289275
0.40040,0.879965,1.291426
0.40240,0.879229,1.293587
0.40440,0.878492,1.295760
0.40641,0.877753,1.297943
0.40841,0.877012,1.300137
0.41041,0.876269,1.302343
0.41241,0.875524,1.304559
0.41441,0.874777,1.306787
0.41642,0.874029,1.309027
0.41842,0.873278,1.311278
0.42042,0.872526,1.313541
0.42242,0.871771,1.315815
0.42442,0.871015,1.318102
0.42643,0.870256,1.320400
0.42843,0.869496,1.322711
0.43043,0.868734,1.325033
0.43243,0.867969,1.327368
0.43443,0.867203,1.329715
0.43644,0.866434,1.332075
0.43844,0.865664,1.334447
0.44044,0.864891,1.336833
0.44244,0.864117,1.339230
0.44444,0.863340,1.341641
0.44645,0.862561,1.344065
0.44845,0.861780,1.346502
0.45045,0.860997,1.348953
0.45245,0.860212,1.351417
0.45445,0.859424,1.353894
0.45646,0.858635,1.356385
0.45846,0.857843,1.358890
0.46046,0.857049,1.361409
0.46246,0.856253,1.363942
0.46446,0.855455,1.366489
0.46647,0.854654,1.369050
0.46847,0.853851,1.371626
0.47047,0.853046,1.374216
0.47247,0.852239,1.376821
0.47447,0.851429,1.379442
0.47648,0.850617,1.382077
0.47848,0.849802,1.384727
