A_strain,S(A),SR_over_SRmax,SR_V_per_s
0.00000,1.000000,1.000000,3.388886e+25
0.00250,0.999997,0.999997,3.388875e+25
0.00501,0.999987,0.999987,3.388843e+25
0.00751,0.999972,0.999972,3.388790e+25
0.01002,0.999950,0.999950,3.388716e+25
0.01252,0.999922,0.999922,3.388620e+25
0.01502,0.999887,0.999887,3.388503e+25
0.01753,0.999846,0.999846,3.388365e+25
0.02003,0.999799,0.999799,3.388206e+25
0.02253,0.999746,0.999746,3.388025e+25
0.02504,0.999687,0.999687,3.387823e+25
0.02754,0.999621,0.999621,3.387600e+25
0.03005,0.999549,0.999549,3.387356e+25
0.03255,0.999470,0.999470,3.387090e+25
0.03505,0.999385,0.999385,3.386803e+25
0.03756,0.999295,0.999295,3.386495e+25
0.04006,0.999197,0.999197,3.386165e+25
0.04256,0.999094,0.999094,3.385814e+25
0.04507,0.998984,0.998984,3.385442e+25
0.04757,0.998868,0.998868,3.385049e+25
0.05008,0.998745,0.998745,3.384634e+25
0.05258,0.998617,0.998617,3.384198e+25
0.05508,0.998482,0.998482,3.383741e+25
0.05759,0.998341,0.998341,3.383262e+25
0.06009,0.998193,0.998193,3.382762e+25
0.06259,0.998039,0.998039,3.382240e+25
0.06510,0.997879,0.997879,3.381697e+25
0.06760,0.997712,0.997712,3.381133e+25
0.07011,0.997540,0.997540,3.380548e+25
0.07261,0.997360,0.997360,3.379941e+25
0.07511,0.997175,0.997175,3.379312e+25
0.07762,0.996983,0.996983,3.378662e+25
0.08012,0.996785,0.996785,3.377991e+25
0.08262,0.996581,0.996581,3.377298e+25
0.08513,0.996370,0.996370,3.376584e+25
0.08763,0.996153,0.996153,3.375848e+25
0.09014,0.995930,0.995930,3.375091e+25
0.09264,0.995700,0.995700,3.374313e+25
0.09514,0.995464,0.995464,3.373512e+25
0.09765,0.995221,0.995221,3.372691e+25
0.10015,0.994972,0.994972,3.371847e+25
0.10265,0.994717,0.994717,3.370983e+25
0.10516,0.994456,0.994456,3.370096e+25
0.10766,0.994188,0.994188,3.369188e+25
0.11017,0.993913,0.993913,3.368258e+25
0.11267,0.993633,0.993633,3.367307e+25
0.11517,0.993345,0.993345,3.366334e+25
0.11768,0.993052,0.993052,3.365340e+25
0.12018,0.992752,0.992752,3.364323e+25
0.12268,0.992446,0.992446,3.363285e+25
0.12519,0.992133,0.992133,3.362225e+25
0.12769,0.991814,0.991814,3.361144e+25
0.13020,0.991488,0.991488,3.360041e+25
0.13270,0.991156,0.991156,3.358916e+25
0.13520,0.990818,0.990818,3.357769e+25
0.13771,0.990473,0.990473,3.356600e+25
0.14021,0.990122,0.990122,3.355409e+25
0.14271,0.989764,0.989764,3.354197e+25
0.14522,0.989400,0.989400,3.352962e+25
0.14772,0.989029,0.989029,3.351706e+25
0.15023,0.988652,0.988652,3.350428e+25
0.15273,0.988268,0.988268,3.349127e+25
0.15523,0.987878,0.987878,3.347805e+25
0.15774,0.987481,0.987481,3.346461e+25
0.16024,0.987078,0.987078,3.345094e+25
0.16274,0.986668,0.986668,3.343706e+25
0.16525,0.986252,0.986252,3.342295e+25
0.16775,0.985829,0.985829,3.340863e+25
0.17026,0.985400,0.985400,3.339408e+25
0.17276,0.984964,0.984964,3.337931e+25
0.17526,0.984522,0.984522,3.336431e+25
0.17777,0.984073,0.984073,3.334910e+25
0.18027,0.983617,0.983617,3.333366e+25
0.18277,0.983155,0.983155,3.331799e+25
0.18528,0.982686,0.982686,3.330211e+25
