A2,cEM_over_c0,cShear_over_c0
0.00000,1.000000,1.000000
0.00200,1.001003,0.999499
0.00400,1.002008,0.998997
0.00601,1.003017,0.998495
0.00801,1.004028,0.997992
0.01001,1.005043,0.997488
0.01201,1.006061,0.996983
0.01401,1.007082,0.996478
0.01602,1.008106,0.995972
0.01802,1.009133,0.995465
0.02002,1.010163,0.994957
0.02202,1.011196,0.994448
0.02402,1.012233,0.993939
0.02603,1.013273,0.993429
0.02803,1.014316,0.992918
0.03003,1.015362,0.992406
0.03203,1.016411,0.991894
0.03403,1.017464,0.991381
0.03604,1.018520,0.990867
0.03804,1.019579,0.990352
0.04004,1.020642,0.989836
0.04204,1.021708,0.989320
0.04404,1.022777,0.988802
0.04605,1.023850,0.988284
0.04805,1.024926,0.987765
0.05005,1.026005,0.987246
0.05205,1.027088,0.986725
0.05405,1.028175,0.986204
0.05606,1.029264,0.985681
0.05806,1.030358,0.985158
0.06006,1.031454,0.984634
0.06206,1.032554,0.984110
0.06406,1.033658,0.983584
0.06607,1.034765,0.983058
0.06807,1.035876,0.982530
0.07007,1.036991,0.982002
0.07207,1.038109,0.981473
0.07407,1.039231,0.980944
0.07608,1.040356,0.980413
0.07808,1.041485,0.979881
0.08008,1.042617,0.979349
0.08208,1.043754,0.978816
0.08408,1.044894,0.978282
0.08609,1.046038,0.977747
0.08809,1.047185,0.977211
0.09009,1.048337,0.976674
0.09209,1.049492,0.976136
0.09409,1.050651,0.975598
0.09610,1.051814,0.975058
0.09810,1.052981,0.974518
0.10010,1.054151,0.973977
0.10210,1.055326,0.973434
0.10410,1.056504,0.972891
0.10611,1.057687,0.972347
0.10811,1.058873,0.971803
0.11011,1.060064,0.971257
0.11211,1.061258,0.970710
0.11411,1.062456,0.970162
0.11612,1.063659,0.969614
0.11812,1.064866,0.969064
0.12012,1.066076,0.968514
0.12212,1.067291,0.967962
0.12412,1.068510,0.967410
0.12613,1.069734,0.966857
0.12813,1.070961,0.966303
0.13013,1.072193,0.965747
0.13213,1.073429,0.965191
0.13413,1.074669,0.964634
0.13614,1.075914,0.964076
0.13814,1.077162,0.963517
0.14014,1.078416,0.962957
0.14214,1.079673,0.962396
0.14414,1.080935,0.961834
0.14615,1.082202,0.961271
0.14815,1.083473,0.960707
0.15015,1.084748,0.960142
0.15215,1.086028,0.959576
0.15415,1.087313,0.959009
0.15616,1.088602,0.958441
0.15816,1.089895,0.957872
