r_over_rs,S_track(1-rs/r),S_alt(sqrt),Z_SYM,Z_mu_only,Z_eps_only
1.0010,0.000999,0.031607,376.730,11.907,11919.214
1.0160,0.015771,0.125581,376.730,47.310,2999.891
1.0310,0.030112,0.173528,376.730,65.373,2171.009
1.0461,0.044041,0.209860,376.730,79.061,1795.152
1.0611,0.057576,0.239950,376.730,90.396,1570.037
1.0761,0.070733,0.265957,376.730,100.194,1416.511
1.0911,0.083528,0.289011,376.730,108.879,1303.514
1.1062,0.095975,0.309798,376.730,116.710,1216.053
1.1212,0.108088,0.328768,376.730,123.857,1145.887
1.1362,0.119881,0.346239,376.730,130.439,1088.065
1.1512,0.131367,0.362445,376.730,136.544,1039.413
1.1663,0.142556,0.377566,376.730,142.241,997.786
1.1813,0.153461,0.391741,376.730,147.581,961.682
1.1963,0.164092,0.405083,376.730,152.607,930.009
1.2113,0.174459,0.417683,376.730,157.354,901.952
1.2264,0.184572,0.429619,376.730,161.851,876.894
1.2414,0.194441,0.440955,376.730,166.121,854.352
1.2564,0.204073,0.451745,376.730,170.186,833.945
1.2714,0.213478,0.462037,376.730,174.063,815.368
1.2864,0.222663,0.471872,376.730,177.769,798.373
1.3015,0.231637,0.481286,376.730,181.315,782.757
1.3165,0.240405,0.490311,376.730,184.715,768.350
1.3315,0.248975,0.498974,376.730,187.979,755.009
1.3465,0.257355,0.507301,376.730,191.116,742.617
1.3616,0.265549,0.515314,376.730,194.135,731.069
1.3766,0.273564,0.523034,376.730,197.043,720.279
1.3916,0.281407,0.530478,376.730,199.847,710.172
1.4066,0.289082,0.537663,376.730,202.554,700.681
1.4217,0.296594,0.544605,376.730,205.169,691.750
1.4367,0.303950,0.551316,376.730,207.698,683.329
1.4517,0.311153,0.557811,376.730,210.144,675.373
1.4667,0.318209,0.564100,376.730,212.514,667.843
1.4817,0.325121,0.570194,376.730,214.809,660.705
1.4968,0.331895,0.576104,376.730,217.036,653.928
1.5118,0.338535,0.581837,376.730,219.196,647.484
1.5268,0.345043,0.587404,376.730,221.293,641.348
1.5418,0.351425,0.592811,376.730,223.330,635.498
1.5569,0.357683,0.598066,376.730,225.310,629.914
1.5719,0.363822,0.603177,376.730,227.235,624.577
1.5869,0.369845,0.608149,376.730,229.108,619.470
1.6019,0.375755,0.612989,376.730,230.931,614.580
1.6170,0.381555,0.617701,376.730,232.707,609.891
1.6320,0.387248,0.622293,376.730,234.436,605.391
1.6470,0.392837,0.626767,376.730,236.122,601.069
1.6620,0.398326,0.631130,376.730,237.766,596.914
1.6771,0.403715,0.635386,376.730,239.369,592.916
1.6921,0.409010,0.639539,376.730,240.934,589.066
1.7071,0.414211,0.643592,376.730,242.461,585.356
1.7221,0.419321,0.647550,376.730,243.952,581.778
1.7371,0.424343,0.651416,376.730,245.408,578.325
1.7522,0.429279,0.655194,376.730,246.831,574.991
1.7672,0.434131,0.658886,376.730,248.222,571.769
1.7822,0.438901,0.662496,376.730,249.582,568.653
1.7972,0.443591,0.666026,376.730,250.912,565.639
1.8123,0.448203,0.669480,376.730,252.213,562.721
1.8273,0.452740,0.672860,376.730,253.487,559.894
1.8423,0.457203,0.676168,376.730,254.733,557.155
1.8573,0.461593,0.679407,376.730,255.953,554.499
1.8724,0.465913,0.682579,376.730,257.148,551.922
1.8874,0.470165,0.685686,376.730,258.319,549.421
1.9024,0.474349,0.688730,376.730,259.465,546.993
1.9174,0.478467,0.691713,376.730,260.589,544.634
