A2,S,Z_SYM_ohm,Z_mu_only_ohm,Z_eps_only_ohm
0.00000,1.000000,376.7303,376.7303,376.7303
0.00200,0.998998,376.7303,376.5416,376.9191
0.00400,0.997996,376.7303,376.3526,377.1084
0.00601,0.996992,376.7303,376.1634,377.2981
0.00801,0.995988,376.7303,375.9738,377.4883
0.01001,0.994982,376.7303,375.7840,377.6790
0.01201,0.993976,376.7303,375.5939,377.8702
0.01401,0.992968,376.7303,375.4034,378.0619
0.01602,0.991960,376.7303,375.2127,378.2540
0.01802,0.990950,376.7303,375.0217,378.4467
0.02002,0.989939,376.7303,374.8305,378.6398
0.02202,0.988928,376.7303,374.6389,378.8334
0.02402,0.987915,376.7303,374.4470,379.0276
0.02603,0.986901,376.7303,374.2548,379.2222
0.02803,0.985886,376.7303,374.0624,379.4173
0.03003,0.984871,376.7303,373.8696,379.6129
0.03203,0.983854,376.7303,373.6765,379.8091
0.03403,0.982836,376.7303,373.4832,380.0057
0.03604,0.981817,376.7303,373.2895,380.2029
0.03804,0.980797,376.7303,373.0955,380.4005
0.04004,0.979775,376.7303,372.9013,380.5987
0.04204,0.978753,376.7303,372.7067,380.7974
0.04404,0.977730,376.7303,372.5118,380.9966
0.04605,0.976706,376.7303,372.3166,381.1963
0.04805,0.975680,376.7303,372.1211,381.3966
0.05005,0.974654,376.7303,371.9253,381.5974
0.05205,0.973626,376.7303,371.7292,381.7987
0.05405,0.972597,376.7303,371.5328,382.0006
0.05606,0.971568,376.7303,371.3360,382.2029
0.05806,0.970537,376.7303,371.1390,382.4059
0.06006,0.969505,376.7303,370.9416,382.6093
0.06206,0.968472,376.7303,370.7440,382.8133
0.06406,0.967438,376.7303,370.5460,383.0179
0.06607,0.966403,376.7303,370.3477,383.2230
0.06807,0.965366,376.7303,370.1490,383.4286
0.07007,0.964329,376.7303,369.9501,383.6348
0.07207,0.963290,376.7303,369.7508,383.8416
0.07407,0.962250,376.7303,369.5512,384.0489
0.07608,0.961210,376.7303,369.3513,384.2568
0.07808,0.960168,376.7303,369.1510,384.4652
0.08008,0.959125,376.7303,368.9505,384.6742
0.08208,0.958080,376.7303,368.7496,384.8838
0.08408,0.957035,376.7303,368.5483,385.0939
0.08609,0.955988,376.7303,368.3468,385.3047
0.08809,0.954941,376.7303,368.1449,385.5160
0.09009,0.953892,376.7303,367.9427,385.7278
0.09209,0.952842,376.7303,367.7401,385.9403
0.09409,0.951791,376.7303,367.5372,386.1533
0.09610,0.950739,376.7303,367.3340,386.3670
0.09810,0.949685,376.7303,367.1304,386.5812
0.10010,0.948630,376.7303,366.9265,386.7960
0.10210,0.947575,376.7303,366.7223,387.0115
0.10410,0.946518,376.7303,366.5177,387.2275
0.10611,0.945460,376.7303,366.3128,387.4441
0.10811,0.944400,376.7303,366.1075,387.6614
0.11011,0.943340,376.7303,365.9019,387.8792
0.11211,0.942278,376.7303,365.6959,388.0977
0.11411,0.941215,376.7303,365.4896,388.3168
0.11612,0.940151,376.7303,365.2829,388.5365
0.11812,0.939086,376.7303,365.0759,388.7568
0.12012,0.938019,376.7303,364.8685,388.9777
0.12212,0.936951,376.7303,364.6608,389.1993
0.12412,0.935882,376.7303,364.4527,389.4215
0.12613,0.934812,376.7303,364.2443,389.6444
0.12813,0.933741,376.7303,364.0355,389.8678
0.13013,0.932668,376.7303,363.8263,390.0920
0.13213,0.931594,376.7303,363.6168,390.3167
0.13413,0.930519,376.7303,363.4069,390.5422
